split,accuracy,macro_precision,macro_recall,macro_f1,macro_f2,normal_precision,suggestive_precision,unsafe_precision,normal_recall,suggestive_recall,unsafe_recall,normal_f1,suggestive_f1,unsafe_f1,confusion_matrix_path_or_value,checkpoint_path,source_log_file
before hard-negative tuning,0.8823015718998641,0.8998665480255085,0.8660564191699596,0.87839166184111,0.8700079218073976,0.9201101928374655,0.962819089900111,0.8166703613389492,0.905372104484968,0.771797153024911,0.921,0.912681654452863,0.8567901234567902,0.8657032076136765,"[[3674, 29, 355], [41, 1735, 472], [278, 38, 3684]]",checkpoints/convnext_sexynude_best.pt,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/backbone_hardneg_comparison.json
after hard-negative tuning,0.8861828061323501,0.8923511097376423,0.8751265615070212,0.8824166375141688,0.8777514252870692,0.9020124580737902,0.9217171717171717,0.8533236994219653,0.9277969443075407,0.8118327402135231,0.88575,0.9147230320699709,0.8632923368022706,0.869234543670265,"[[3765, 51, 242], [56, 1825, 367], [353, 104, 3543]]",checkpoints/convnext_sexynude_hardneg_best.pt,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/backbone_hardneg_comparison.json
