model,train_image_count,validation_image_count,test_image_count,class_names,best_validation_accuracy,best_validation_macro_f1,test_accuracy,test_macro_f1,test_macro_f2,threshold_used,checkpoint_path,source_log_file,notes
ConvNeXt-Small 3-class NudeNet baseline,690962,10306,10049,"normal,suggestive/sexy,unsafe/nude",0.8823015718998641,0.87839166184111,0.8832719673599363,0.8745289408661554,0.8643357555439376,NOT_FOUND,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/checkpoints/convnext_sexynude_best.pt,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/backbone_hardneg_comparison.json,"folder_counts train={'safe': 222448, 'sexy': 38004, 'nude': 430510}, val={'safe': 4058, 'sexy': 2248, 'nude': 4000}, test={'safe': 4050, 'sexy': 2121, 'nude': 3878}, hard_negative_added=0; count source=/media/hazem/6A47B344CD80864E/GP Implementation/Dataset/NudeNet_classifier_dataset_v1/nude_sexy_safe_v1_x320"
ConvNeXt-Small 3-class hard-negative tuned,691775,10306,10049,"normal,suggestive/sexy,unsafe/nude",0.8861828061323501,0.8824166375141688,0.891531495671211,0.8877590261756265,0.883127354201006,NOT_FOUND,checkpoints/convnext_sexynude_hardneg_best.pt,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/backbone_hardneg_comparison.json,"folder_counts train={'safe': 222448, 'sexy': 38004, 'nude': 430510}, val={'safe': 4058, 'sexy': 2248, 'nude': 4000}, test={'safe': 4050, 'sexy': 2121, 'nude': 3878}, hard_negative_added=813; count source=/media/hazem/6A47B344CD80864E/GP Implementation/Dataset/NudeNet_classifier_dataset_v1/nude_sexy_safe_v1_x320"
