threshold,accuracy,precision,recall,F1,F2,false_positives,false_negatives,unsafe_recall,notes_about_tradeoff,source_log_file
0.15,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND in binary_temporal_roi_summary threshold_rows,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
0.3,0.75,0.7583333333333333,0.9191919191919192,0.8310502283105022,NOT_FOUND,29,8,0.9191919191919192,lower threshold favors unsafe recall; higher threshold reduces normal false positives but increases unsafe false negatives,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
0.35,0.7567567567567568,0.7739130434782608,0.898989898989899,0.8317757009345794,NOT_FOUND,26,10,0.898989898989899,lower threshold favors unsafe recall; higher threshold reduces normal false positives but increases unsafe false negatives,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
0.4,0.777027027027027,0.8,0.8888888888888888,0.8421052631578947,NOT_FOUND,22,11,0.8888888888888888,lower threshold favors unsafe recall; higher threshold reduces normal false positives but increases unsafe false negatives,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
0.45,0.777027027027027,0.8055555555555556,0.8787878787878788,0.8405797101449275,NOT_FOUND,21,12,0.8787878787878788,lower threshold favors unsafe recall; higher threshold reduces normal false positives but increases unsafe false negatives,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
0.5,0.7837837837837838,0.8252427184466019,0.8585858585858586,0.8415841584158416,NOT_FOUND,18,14,0.8585858585858586,lower threshold favors unsafe recall; higher threshold reduces normal false positives but increases unsafe false negatives,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
0.55,0.7635135135135135,0.8333333333333334,0.8080808080808081,0.8205128205128205,NOT_FOUND,16,19,0.8080808080808081,lower threshold favors unsafe recall; higher threshold reduces normal false positives but increases unsafe false negatives,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
0.6,0.7702702702702703,0.8494623655913979,0.797979797979798,0.8229166666666666,NOT_FOUND,14,20,0.797979797979798,lower threshold favors unsafe recall; higher threshold reduces normal false positives but increases unsafe false negatives,/media/hazem/6A47B344CD80864E/GP Implementation/Implimentation/eval_logs/binary_temporal_roi_summary.json
